ID,Prediction
1,-0.73
2,-1.00
3,-0.51
4,-0.92
5,-1.00
6,-1.00
7,-1.00
8,-0.04
9,-0.19
10,0.99
11,-1.00
12,-0.85
13,-0.12
14,0.74
15,-1.00
16,-0.94
17,-0.99
18,0.24
19,-0.08
20,-1.00
21,-1.00
22,-0.30
23,1.00
24,0.08
25,-0.88
26,-0.50
27,-1.00
28,-1.00
29,-1.00
30,-1.00
31,-1.00
32,-1.00
33,-1.00
34,-1.00
35,-0.85
36,-0.14
37,-1.00
38,-0.70
39,-0.31
40,-0.92
41,0.31
42,-1.00
43,0.96
44,-0.80
45,-1.00
46,-1.00
47,-1.00
48,-0.08
49,-1.00
50,-0.44
51,-1.00
52,-1.00
53,0.46
54,-0.72
55,1.00
56,-0.52
57,-0.38
58,-0.19
59,0.42
60,0.97
61,-1.00
62,0.42
63,-0.82
64,-1.00
65,-1.00
66,-1.00
67,1.00
68,-0.12
69,-1.00
70,-1.00
71,-1.00
72,-0.82
73,-1.00
74,-0.10
75,0.01
76,-1.00
77,-1.00
78,-0.56
79,0.22
80,-1.00
81,-0.74
82,-0.59
83,-1.00
84,-1.00
85,-0.96
86,0.98
87,-0.94
88,-1.00
89,-0.96
90,0.38
91,0.20
92,0.90
93,-1.00
94,-1.00
95,-0.18
96,0.22
97,-1.00
98,-1.00
99,-0.74
100,-0.90
101,0.49
102,0.00
103,-1.00
104,-0.08
105,0.91
106,-1.00
107,-1.00
108,-1.00
109,-0.47
110,-0.80
111,-1.00
112,-1.00
113,-0.85
114,-0.98
115,-0.42
116,-0.98
117,-1.00
118,-1.00
119,-1.00
120,-0.96
121,0.09
122,-0.74
123,0.50
124,-0.45
125,1.00
126,-1.00
127,-0.49
128,0.24
129,-0.86
130,-0.60
131,0.64
132,-0.06
133,0.16
134,0.40
135,-0.94
136,-1.00
137,-1.00
138,-1.00
139,-0.84
140,-1.00
141,-0.26
142,-1.00
143,-1.00
144,-0.57
145,-0.74
146,0.42
147,-0.95
148,-1.00
149,-0.84
150,-1.00
151,-0.09
152,0.18
153,-0.94
154,-1.00
155,0.49
156,0.48
157,-0.02
158,-1.00
159,-1.00
160,-0.48
161,0.99
162,-0.08
163,-1.00
164,-1.00
165,-0.96
166,-0.64
167,-0.26
168,-0.54
169,-1.00
170,-1.00
171,0.98
172,-1.00
173,-0.38
174,-1.00
175,-1.00
176,-0.96
177,-0.97
178,0.35
179,-0.67
180,-1.00
181,0.52
182,-0.84
183,-1.00
184,-0.38
185,-1.00
186,-0.86
187,-1.00
188,-1.00
189,-1.00
190,-1.00
191,-0.92
192,0.33
193,-0.60
194,0.55
195,-0.24
196,-1.00
197,0.01
198,-1.00
199,-0.81
200,-1.00
201,-1.00
202,-0.62
203,-1.00
204,-1.00
205,-1.00
206,0.43
207,-0.98
208,-1.00
209,-0.49
210,-1.00
211,-1.00
212,-0.17
213,-1.00
214,-1.00
215,-1.00
216,1.00
217,-1.00
218,-0.78
219,-0.97
220,1.00
221,-0.10
222,-1.00
223,-0.92
224,1.00
225,-0.90
226,-1.00
227,-1.00
228,-1.00
229,-1.00
230,-0.11
231,0.86
232,-0.98
233,-0.08
234,-0.98
235,0.06
